Date,Symbol,Price_USD
2024-12-07,PAXG,2634.0335
2024-12-07,XAUt,2639.0568
2025-01-01,PAXG,2630.5792
2025-01-01,XAUt,2622.9228
2025-02-01,PAXG,2805.4222
2025-02-01,XAUt,2797.7289
2025-03-01,PAXG,2859.7572
2025-03-01,XAUt,2854.8834
2025-04-01,PAXG,3147.789
2025-04-01,XAUt,3165.0669
2025-05-01,PAXG,3283.8069
2025-05-01,XAUt,3281.0381
2025-06-01,PAXG,3299.0673
2025-06-01,XAUt,3289.9355
2025-07-01,PAXG,3319.6897
2025-07-01,XAUt,3310.7702
2025-08-01,PAXG,3295.4268
2025-08-01,XAUt,3293.1406
2025-09-01,PAXG,3461.7656
2025-09-01,XAUt,3460.9781
2025-10-01,PAXG,3872.3901
2025-10-01,XAUt,3870.3233
2025-11-01,PAXG,4000.8361
2025-11-01,XAUt,4005.8108
2025-12-01,PAXG,4240.1097
2025-12-01,XAUt,4215.0391
